endpoint,documented_codes,observed_codes,matched_codes,documented_2xx,matched_2xx,coverage_2xx_pct,documented_4xx,matched_4xx,coverage_4xx_pct,coverage_pct
get-/api/v1/Bills/{billId}/Stages/{billStageId}/Amendments,"['200', '400', '404']","['200', '400', '404']","['200', '400', '404']",['200'],['200'],100.0,"['400', '404']","['400', '404']",100.0,100.0
get-/api/v1/Bills/{billId}/Stages/{billStageId}/Amendments/{amendmentId},"['200', '400', '404']",['404'],['404'],['200'],[],0.0,"['400', '404']",['404'],50.0,33.3
get-/api/v1/Bills/{billId}/NewsArticles,"['200', '400', '404']","['200', '404']","['200', '404']",['200'],['200'],100.0,"['400', '404']",['404'],50.0,66.7
get-/api/v1/BillTypes,"['200', '400']","['200', '400']","['200', '400']",['200'],['200'],100.0,['400'],['400'],100.0,100.0
get-/api/v1/Bills,"['200', '400']","['200', '400']","['200', '400']",['200'],['200'],100.0,['400'],['400'],100.0,100.0
get-/api/v1/Bills/{billId},"['200', '400', '404']","['200', '404']","['200', '404']",['200'],['200'],100.0,"['400', '404']",['404'],50.0,66.7
get-/api/v1/Bills/{billId}/Stages/{billStageId},"['200', '400', '404']","['200', '404']","['200', '404']",['200'],['200'],100.0,"['400', '404']",['404'],50.0,66.7
get-/api/v1/Bills/{billId}/Stages,"['200', '400', '404']","['200', '404']","['200', '404']",['200'],['200'],100.0,"['400', '404']",['404'],50.0,66.7
get-/api/v1/Publications/{publicationId}/Documents/{documentId},"['200', '400', '404']","['400', '404']","['400', '404']",['200'],[],0.0,"['400', '404']","['400', '404']",100.0,66.7
get-/api/v1/Publications/{publicationId}/Documents/{documentId}/Download,"['200', '400', '404']","['400', '404']","['400', '404']",['200'],[],0.0,"['400', '404']","['400', '404']",100.0,66.7
get-/api/v1/Bills/{billId}/Stages/{billStageId}/PingPongItems,"['200', '400', '404']","['200', '400', '404']","['200', '400', '404']",['200'],['200'],100.0,"['400', '404']","['400', '404']",100.0,100.0
get-/api/v1/Bills/{billId}/Stages/{billStageId}/PingPongItems/{pingPongItemId},"['200', '400', '404']",['404'],['404'],['200'],[],0.0,"['400', '404']",['404'],50.0,33.3
get-/api/v1/PublicationTypes,"['200', '400']","['200', '400']","['200', '400']",['200'],['200'],100.0,['400'],['400'],100.0,100.0
get-/api/v1/Bills/{billId}/Publications,"['200', '400', '404']","['200', '404']","['200', '404']",['200'],['200'],100.0,"['400', '404']",['404'],50.0,66.7
get-/api/v1/Bills/{billId}/Stages/{stageId}/Publications,"['200', '400', '404']","['200', '400', '404']","['200', '400', '404']",['200'],['200'],100.0,"['400', '404']","['400', '404']",100.0,100.0
get-/api/v1/Rss/allbills.rss,['200'],['200'],['200'],['200'],['200'],100.0,[],[],0.0,100.0
get-/api/v1/Rss/publicbills.rss,['200'],['200'],['200'],['200'],['200'],100.0,[],[],0.0,100.0
get-/api/v1/Rss/privatebills.rss,['200'],['200'],['200'],['200'],['200'],100.0,[],[],0.0,100.0
get-/api/v1/Rss/Bills/{id}.rss,"['200', '400', '404']","['200', '400', '404']","['200', '400', '404']",['200'],['200'],100.0,"['400', '404']","['400', '404']",100.0,100.0
get-/api/v1/Sittings,"['200', '400']","['200', '400']","['200', '400']",['200'],['200'],100.0,['400'],['400'],100.0,100.0
get-/api/v1/Stages,"['200', '400']","['200', '400']","['200', '400']",['200'],['200'],100.0,['400'],['400'],100.0,100.0
