test_case_id,step_number,endpoint,method,test_data_row,request_params,request_body,final_url,response_status,expected_status,execution_time,status
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,1,"{""year"": 2025, ""federal"": ""true"", ""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/holidays?year=2025&federal=true&optional=false,200,2xx,0.307s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,2,"{""year"": 2014, ""federal"": ""1"", ""optional"": ""1""}",{},https://canada-holidays.ca/api/v1/holidays?year=2014&federal=1&optional=1,200,2xx,0.305s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,3,{},{},https://canada-holidays.ca/api/v1/holidays,200,2xx,0.344s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,4,"{""federal"": ""true""}",{},https://canada-holidays.ca/api/v1/holidays?federal=true,200,2xx,0.337s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,5,"{""year"": 2025, ""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/holidays?year=2025&optional=false,200,2xx,0.305s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,6,"{""year"": 2025, ""federal"": ""true"", ""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/holidays?year=2025&federal=true&optional=false,200,2xx,0.329s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,7,"{""year"": 2025, ""federal"": ""true""}",{},https://canada-holidays.ca/api/v1/holidays?year=2025&federal=true,200,2xx,0.391s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,8,"{""year"": 2025, ""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/holidays?year=2025&optional=false,200,2xx,0.308s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,9,"{""federal"": ""true"", ""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/holidays?federal=true&optional=false,200,2xx,0.430s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,10,"{""year"": 2036}",{},https://canada-holidays.ca/api/v1/holidays?year=2036,400,4xx,0.301s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,11,"{""federal"": ""yes"", ""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/holidays?federal=yes&optional=false,400,4xx,0.318s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,12,"{""year"": ""abc"", ""federal"": ""false""}",{},https://canada-holidays.ca/api/v1/holidays?year=abc&federal=false,400,4xx,0.292s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,13,"{""year"": 2013}",{},https://canada-holidays.ca/api/v1/holidays?year=2013,400,4xx,0.305s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,14,"{""year"": 2036}",{},https://canada-holidays.ca/api/v1/holidays?year=2036,400,4xx,0.297s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,15,"{""federal"": ""yes""}",{},https://canada-holidays.ca/api/v1/holidays?federal=yes,400,4xx,0.305s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,16,"{""optional"": ""maybe""}",{},https://canada-holidays.ca/api/v1/holidays?optional=maybe,400,4xx,0.302s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,17,"{""year"": -1, ""federal"": ""tru""}",{},https://canada-holidays.ca/api/v1/holidays?year=-1&federal=tru,400,4xx,0.304s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,18,"{""year"": -9999999.0, ""federal"": """", ""optional"": """"}",{},https://canada-holidays.ca/api/v1/holidays?year=-9999999.0&federal=&optional=,400,4xx,0.312s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,19,"{""year"": ""123456"", ""federal"": """", ""optional"": """"}",{},https://canada-holidays.ca/api/v1/holidays?year=123456&federal=&optional=,400,4xx,0.296s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,20,"{""year"": -9999999.0, ""federal"": 123456789, ""optional"": """"}",{},https://canada-holidays.ca/api/v1/holidays?year=-9999999.0&federal=123456789&optional=,400,4xx,0.306s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,21,"{""year"": -9999999.0, ""federal"": """", ""optional"": 123456789}",{},https://canada-holidays.ca/api/v1/holidays?year=-9999999.0&federal=&optional=123456789,400,4xx,0.331s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,22,"{""year"": ""123456"", ""federal"": 123456789, ""optional"": """"}",{},https://canada-holidays.ca/api/v1/holidays?year=123456&federal=123456789&optional=,400,4xx,0.335s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,23,"{""year"": ""123456"", ""federal"": 123456789, ""optional"": 123456789}",{},https://canada-holidays.ca/api/v1/holidays?year=123456&federal=123456789&optional=123456789,400,4xx,0.303s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,1,"{""year"": 2025, ""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/holidays/2?year=2025&optional=false,200,2xx,0.302s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,2,"{""year"": 2014, ""optional"": ""true""}",{},https://canada-holidays.ca/api/v1/holidays/1?year=2014&optional=true,200,2xx,0.307s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,3,"{""year"": 2035, ""optional"": ""1""}",{},https://canada-holidays.ca/api/v1/holidays/34?year=2035&optional=1,200,2xx,0.300s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,4,{},{},https://canada-holidays.ca/api/v1/holidays/2,200,2xx,0.305s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,5,{},{},https://canada-holidays.ca/api/v1/holidays/2,200,2xx,0.299s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,6,"{""year"": 2025, ""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/holidays/2?year=2025&optional=false,200,2xx,0.382s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,7,"{""year"": 2025}",{},https://canada-holidays.ca/api/v1/holidays/2?year=2025,200,2xx,0.298s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,8,"{""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/holidays/2?optional=false,200,2xx,0.331s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,9,"{""year"": 2025, ""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/holidays/0?year=2025&optional=false,400,4xx,0.312s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,10,"{""year"": 2020, ""optional"": ""yes""}",{},https://canada-holidays.ca/api/v1/holidays/5?year=2020&optional=yes,400,4xx,0.324s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,11,"{""year"": 2025, ""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/holidays/0?year=2025&optional=false,400,4xx,0.344s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,12,"{""year"": 2036, ""optional"": ""true""}",{},https://canada-holidays.ca/api/v1/holidays/15?year=2036&optional=true,400,4xx,0.316s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,13,"{""year"": 2020, ""optional"": ""maybe""}",{},https://canada-holidays.ca/api/v1/holidays/20?year=2020&optional=maybe,400,4xx,0.302s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,14,"{""year"": 2013, ""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/holidays/35?year=2013&optional=false,400,4xx,0.299s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,15,"{""year"": 2036, ""optional"": ""yes""}",{},https://canada-holidays.ca/api/v1/holidays/-1?year=2036&optional=yes,400,4xx,0.337s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,16,"{""year"": -9999999.0, ""optional"": """"}",{},https://canada-holidays.ca/api/v1/holidays/-1?year=-9999999.0&optional=,400,4xx,0.311s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,17,"{""year"": -9999999.0, ""optional"": """"}",{},https://canada-holidays.ca/api/v1/holidays/123456?year=-9999999.0&optional=,400,4xx,0.300s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,18,"{""year"": ""123456"", ""optional"": """"}",{},https://canada-holidays.ca/api/v1/holidays/-1?year=123456&optional=,400,4xx,0.299s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,19,"{""year"": -9999999.0, ""optional"": 123456789}",{},https://canada-holidays.ca/api/v1/holidays/-1?year=-9999999.0&optional=123456789,400,4xx,0.301s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,20,"{""year"": ""123456"", ""optional"": """"}",{},https://canada-holidays.ca/api/v1/holidays/123456?year=123456&optional=,400,4xx,0.346s,PASS
_api_v1_holidays_holidayId__Holiday_1_1,2,get-/api/v1/holidays/{holidayId},GET,21,"{""year"": ""123456"", ""optional"": 123456789}",{},https://canada-holidays.ca/api/v1/holidays/123456?year=123456&optional=123456789,400,4xx,0.318s,PASS
_api_v1_provinces_Provinces_0_1,1,get-/api/v1/provinces,GET,1,"{""year"": 2025, ""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/provinces?year=2025&optional=false,200,2xx,0.317s,PASS
_api_v1_provinces_Provinces_0_1,1,get-/api/v1/provinces,GET,2,"{""year"": 2014, ""optional"": ""1""}",{},https://canada-holidays.ca/api/v1/provinces?year=2014&optional=1,200,2xx,0.309s,PASS
_api_v1_provinces_Provinces_0_1,1,get-/api/v1/provinces,GET,3,{},{},https://canada-holidays.ca/api/v1/provinces,200,2xx,0.308s,PASS
_api_v1_provinces_Provinces_0_1,1,get-/api/v1/provinces,GET,4,{},{},https://canada-holidays.ca/api/v1/provinces,200,2xx,0.309s,PASS
_api_v1_provinces_Provinces_0_1,1,get-/api/v1/provinces,GET,5,"{""year"": 2025, ""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/provinces?year=2025&optional=false,200,2xx,0.335s,PASS
_api_v1_provinces_Provinces_0_1,1,get-/api/v1/provinces,GET,6,"{""year"": 2025}",{},https://canada-holidays.ca/api/v1/provinces?year=2025,200,2xx,0.309s,PASS
_api_v1_provinces_Provinces_0_1,1,get-/api/v1/provinces,GET,7,"{""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/provinces?optional=false,200,2xx,0.306s,PASS
_api_v1_provinces_Provinces_0_1,1,get-/api/v1/provinces,GET,8,"{""year"": 2036}",{},https://canada-holidays.ca/api/v1/provinces?year=2036,400,4xx,0.303s,PASS
_api_v1_provinces_Provinces_0_1,1,get-/api/v1/provinces,GET,9,"{""year"": ""abc""}",{},https://canada-holidays.ca/api/v1/provinces?year=abc,400,4xx,0.302s,PASS
