test_case_id,step_number,endpoint,method,test_data_row,reason,request_params,request_body,final_url,response_status,expected_status,execution_time,status
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,1,"year=2147483649 > maximum=2035, violating 'maximum'; federal='nope' is not in enum {'1','0','true','false'}; optional='perhaps' is not in enum {'1','0','true','false'}.","{""year"": 2147483649, ""federal"": ""nope"", ""optional"": ""perhaps""}",{},https://canada-holidays.ca/api/v1/holidays?year=2147483649&federal=nope&optional=perhaps,400,4xx,0.455s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,2,"year=2013 < minimum=2014, violating 'minimum'; federal='tru' is not in enum {'1','0','true','false'}.","{""year"": 2013, ""federal"": ""tru"", ""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/holidays?year=2013&federal=tru&optional=false,400,4xx,0.301s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,3,llm_success_ignore_optional,{},{},https://canada-holidays.ca/api/v1/holidays,200,2xx,0.313s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,4,"optional='maybe' is not in enum {'1','0','true','false'}.","{""year"": 2025, ""federal"": ""1"", ""optional"": ""maybe""}",{},https://canada-holidays.ca/api/v1/holidays?year=2025&federal=1&optional=maybe,400,4xx,0.304s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,5,llm_success_ignore_optional,"{""year"": 2025, ""federal"": ""true"", ""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/holidays?year=2025&federal=true&optional=false,200,2xx,0.309s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,6,"federal='yes' is not in enum {'1','0','true','false'}.","{""year"": 2025, ""federal"": ""yes"", ""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/holidays?year=2025&federal=yes&optional=false,400,4xx,0.298s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,7,heuristic_mutation: out-of-range/invalid primitives,"{""year"": -9999999.0, ""federal"": """", ""optional"": """"}",{},https://canada-holidays.ca/api/v1/holidays?year=-9999999.0&federal=&optional=,400,4xx,0.392s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,8,"year=2036 > maximum=2035, violating 'maximum'.","{""year"": 2036, ""federal"": ""1"", ""optional"": ""false""}",{},https://canada-holidays.ca/api/v1/holidays?year=2036&federal=1&optional=false,400,4xx,0.319s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,9,year=2025 is within allowed range [2014..2035]; federal='true' and optional='false' are in their allowed enums.,"{""year"": ""123456"", ""federal"": 123456789, ""optional"": 123456789}",{},https://canada-holidays.ca/api/v1/holidays?year=123456&federal=123456789&optional=123456789,400,4xx,0.295s,PASS
_api_v1_holidays_Holidays_0_1,1,get-/api/v1/holidays,GET,10,llm_success_ignore_optional: year=2025 is within allowed range [2014..2035]; federal='true' and optional='false' are in their allowed enums.,"{""year"": 2025, ""federal"": ""true""}",{},https://canada-holidays.ca/api/v1/holidays?year=2025&federal=true,200,2xx,0.311s,PASS
