test_case_id,step_number,endpoint,method,test_data_row,request_params,request_body,final_url,response_status,expected_status,execution_time,status
_projects_GET_1_1,2,get-/projects,GET,1,"{""archived"": true, ""min_access_level"": 30, ""order_by"": ""created_at"", ""sort"": ""asc"", ""visibility"": ""public""}",{},http://localhost:30000/api/v4/projects?archived=True&min_access_level=30&order_by=created_at&sort=asc&visibility=public,200,2xx,0.076s,PASS
_projects_GET_1_1,2,get-/projects,GET,2,"{""min_access_level"": 15}",{},http://localhost:30000/api/v4/projects?min_access_level=15,200,2xx,0.087s,PASS
_projects_GET_1_1,2,get-/projects,GET,3,"{""id_after"": ""abc""}",{},http://localhost:30000/api/v4/projects?id_after=abc,400,2xx,0.046s,FAIL
_projects_GET_1_1,2,get-/projects,GET,4,"{""last_activity_after"": ""2024-06-01T12:00:00Z"", ""last_activity_before"": ""2024-06-30T23:59:59Z""}",{},http://localhost:30000/api/v4/projects?last_activity_after=2024-06-01T12%3A00%3A00Z&last_activity_before=2024-06-30T23%3A59%3A59Z,200,2xx,0.063s,PASS
_projects_GET_1_1,2,get-/projects,GET,5,"{""last_activity_after"": ""06/01/2024 12:00:00""}",{},http://localhost:30000/api/v4/projects?last_activity_after=06%2F01%2F2024+12%3A00%3A00,200,2xx,0.044s,PASS
_projects_GET_1_1,2,get-/projects,GET,6,{},{},http://localhost:30000/api/v4/projects,200,2xx,0.043s,PASS
_projects_GET_1_1,2,get-/projects,GET,7,"{""min_access_level"": 30}",{},http://localhost:30000/api/v4/projects?min_access_level=30,200,2xx,0.039s,PASS
_projects_GET_1_1,2,get-/projects,GET,8,"{""order_by"": ""created_at"", ""sort"": ""asc""}",{},http://localhost:30000/api/v4/projects?order_by=created_at&sort=asc,200,2xx,0.051s,PASS
_projects_GET_1_1,2,get-/projects,GET,9,"{""archived"": true, ""visibility"": ""public""}",{},http://localhost:30000/api/v4/projects?archived=True&visibility=public,200,2xx,0.065s,PASS
_projects_GET_1_1,2,get-/projects,GET,10,"{""archived"": true, ""order_by"": ""created_at"", ""visibility"": ""public""}",{},http://localhost:30000/api/v4/projects?archived=True&order_by=created_at&visibility=public,200,2xx,0.058s,PASS
_projects_GET_1_1,2,get-/projects,GET,11,"{""archived"": true, ""min_access_level"": 30, ""order_by"": ""created_at"", ""sort"": ""asc"", ""visibility"": ""public""}",{},http://localhost:30000/api/v4/projects?archived=True&min_access_level=30&order_by=created_at&sort=asc&visibility=public,200,2xx,0.091s,PASS
_projects_GET_1_1,2,get-/projects,GET,12,"{""archived"": true, ""min_access_level"": 30, ""order_by"": ""created_at"", ""sort"": ""asc""}",{},http://localhost:30000/api/v4/projects?archived=True&min_access_level=30&order_by=created_at&sort=asc,200,2xx,0.072s,PASS
_projects_GET_1_1,2,get-/projects,GET,13,"{""archived"": true, ""min_access_level"": 30, ""order_by"": ""created_at"", ""visibility"": ""public""}",{},http://localhost:30000/api/v4/projects?archived=True&min_access_level=30&order_by=created_at&visibility=public,200,2xx,0.057s,PASS
_projects_GET_1_1,2,get-/projects,GET,14,"{""archived"": true, ""min_access_level"": 30, ""sort"": ""asc"", ""visibility"": ""public""}",{},http://localhost:30000/api/v4/projects?archived=True&min_access_level=30&sort=asc&visibility=public,200,2xx,0.047s,PASS
_projects_GET_1_1,2,get-/projects,GET,15,"{""archived"": true, ""order_by"": ""created_at"", ""sort"": ""asc"", ""visibility"": ""public""}",{},http://localhost:30000/api/v4/projects?archived=True&order_by=created_at&sort=asc&visibility=public,200,2xx,0.073s,PASS
