endpoint,documented_codes,observed_codes,matched_codes,documented_2xx,matched_2xx,coverage_2xx_pct,documented_4xx,matched_4xx,coverage_4xx_pct,coverage_pct
get-/groups,['200'],['200'],['200'],['200'],['200'],100.0,[],[],0.0,100.0
post-/groups,['201'],['400'],[],['201'],[],0.0,[],[],0.0,0.0
get-/groups/{id},['200'],['200'],['200'],['200'],['200'],100.0,[],[],0.0,100.0
put-/groups/{id},['200'],['400'],[],['200'],[],0.0,[],[],0.0,0.0
delete-/groups/{id},['202'],"['202', '404']",['202'],['202'],['202'],100.0,[],[],0.0,100.0
post-/groups/{id}/share,['200'],['404'],[],['200'],[],0.0,[],[],0.0,0.0
delete-/groups/{id}/share/{group_id},['204'],['404'],[],['204'],[],0.0,[],[],0.0,0.0
get-/groups/{id}/subgroups,['200'],['200'],['200'],['200'],['200'],100.0,[],[],0.0,100.0
get-/groups/{id}/hooks,['200'],['200'],['200'],['200'],['200'],100.0,[],[],0.0,100.0
post-/groups/{id}/hooks,['201'],['201'],['201'],['201'],['201'],100.0,[],[],0.0,100.0
get-/groups/{id}/hooks/{hook_id},['200'],['404'],[],['200'],[],0.0,[],[],0.0,0.0
put-/groups/{id}/hooks/{hook_id},['200'],"['400', '404']",[],['200'],[],0.0,[],[],0.0,0.0
delete-/groups/{id}/hooks/{hook_id},['204'],['404'],[],['204'],[],0.0,[],[],0.0,0.0
get-/groups/{id}/descendant_groups,['200'],['200'],['200'],['200'],['200'],100.0,[],[],0.0,100.0
get-/groups/{id}/projects,['200'],['200'],['200'],['200'],['200'],100.0,[],[],0.0,100.0
post-/groups/{id}/projects/{project_id},['201'],['404'],[],['201'],[],0.0,[],[],0.0,0.0
get-/groups/{id}/projects/shared,['200'],['200'],['200'],['200'],['200'],100.0,[],[],0.0,100.0
