test_case_id,step_number,endpoint,method,test_data_row,reason,request_params,request_body,final_url,response_status,expected_status,execution_time,status
_groups_POST_0_1,1,post-/groups,POST,1,llm_success_ignore_optional: All fields are present and values match their types and allowed enums; integer fields are parseable and within allowed values.,"{""visibility"": ""private"", ""share_with_group_lock"": true, ""require_two_factor_authentication"": false, ""two_factor_grace_period"": 24, ""project_creation_level"": ""developer"", ""auto_devops_enabled"": true, ""emails_disabled"": false, ""mentions_disabled"": false, ""lfs_enabled"": true, ""request_access_enabled"": true, ""parent_id"": 12345, ""default_branch_protection"": 1, ""shared_runners_setting"": ""enabled""}","{""name"": ""Engineering Team"", ""path"": ""engineering""}",http://localhost:30000/api/v4/groups?visibility=private&share_with_group_lock=True&require_two_factor_authentication=False&two_factor_grace_period=24&project_creation_level=developer&auto_devops_enabled=True&emails_disabled=False&mentions_disabled=False&lfs_enabled=True&request_access_enabled=True&parent_id=12345&default_branch_protection=1&shared_runners_setting=enabled,404,2xx,0.027s,FAIL
_groups_POST_0_1,1,post-/groups,POST,2,llm_success_ignore_optional: All fields are present and values match their types and allowed enums; integer fields are parseable and within allowed values.,"{""two_factor_grace_period"": 24, ""subgroup_creation_level"": ""owner"", ""request_access_enabled"": true, ""parent_id"": 12345, ""shared_runners_setting"": ""enabled""}","{""name"": ""Engineering Team"", ""path"": ""engineering"", ""description"": ""Group for all engineering projects."", ""avatar"": ""team_logo.png""}",http://localhost:30000/api/v4/groups?two_factor_grace_period=24&subgroup_creation_level=owner&request_access_enabled=True&parent_id=12345&shared_runners_setting=enabled,400,2xx,0.068s,FAIL
_groups_POST_0_1,1,post-/groups,POST,3,All fields are present and values match their types and allowed enums; integer fields are parseable and within allowed values.,"{""visibility"": ""private"", ""share_with_group_lock"": true, ""require_two_factor_authentication"": false, ""two_factor_grace_period"": 24, ""project_creation_level"": ""developer"", ""auto_devops_enabled"": true, ""subgroup_creation_level"": ""owner"", ""emails_disabled"": false, ""mentions_disabled"": false, ""lfs_enabled"": true, ""request_access_enabled"": true, ""parent_id"": 12345, ""default_branch_protection"": 1, ""shared_runners_setting"": ""enabled""}","{""name"": ""Engineering Team"", ""path"": ""engineering"", ""description"": ""Group for all engineering projects."", ""avatar"": ""team_logo.png""}",http://localhost:30000/api/v4/groups?visibility=private&share_with_group_lock=True&require_two_factor_authentication=False&two_factor_grace_period=24&project_creation_level=developer&auto_devops_enabled=True&subgroup_creation_level=owner&emails_disabled=False&mentions_disabled=False&lfs_enabled=True&request_access_enabled=True&parent_id=12345&default_branch_protection=1&shared_runners_setting=enabled,400,2xx,0.062s,FAIL
_groups_POST_0_1,1,post-/groups,POST,4,llm_success_ignore_optional: All fields are present and values match their types and allowed enums; integer fields are parseable and within allowed values.,"{""visibility"": ""private"", ""share_with_group_lock"": true, ""subgroup_creation_level"": ""owner"", ""emails_disabled"": false, ""parent_id"": 12345, ""shared_runners_setting"": ""enabled""}","{""name"": ""Marketing"", ""path"": ""marketing""}",http://localhost:30000/api/v4/groups?visibility=private&share_with_group_lock=True&subgroup_creation_level=owner&emails_disabled=False&parent_id=12345&shared_runners_setting=enabled,404,2xx,0.057s,FAIL
_groups_POST_0_1,1,post-/groups,POST,5,llm_success_ignore_optional: All fields are present and values match their types and allowed enums; integer fields are parseable and within allowed values.,"{""visibility"": ""private"", ""share_with_group_lock"": true, ""require_two_factor_authentication"": false, ""two_factor_grace_period"": 24, ""project_creation_level"": ""developer"", ""auto_devops_enabled"": true, ""subgroup_creation_level"": ""owner"", ""emails_disabled"": false, ""mentions_disabled"": false, ""lfs_enabled"": true, ""request_access_enabled"": true, ""parent_id"": 12345, ""shared_runners_setting"": ""enabled""}","{""name"": ""Engineering Team"", ""path"": ""engineering"", ""avatar"": ""team_logo.png""}",http://localhost:30000/api/v4/groups?visibility=private&share_with_group_lock=True&require_two_factor_authentication=False&two_factor_grace_period=24&project_creation_level=developer&auto_devops_enabled=True&subgroup_creation_level=owner&emails_disabled=False&mentions_disabled=False&lfs_enabled=True&request_access_enabled=True&parent_id=12345&shared_runners_setting=enabled,400,2xx,0.062s,FAIL
_groups_POST_0_1,1,post-/groups,POST,6,llm_success_ignore_optional: All fields are present and values match their types and allowed enums; integer fields are parseable and within allowed values.,"{""visibility"": ""private"", ""require_two_factor_authentication"": false, ""two_factor_grace_period"": 24, ""project_creation_level"": ""developer"", ""auto_devops_enabled"": true, ""subgroup_creation_level"": ""owner"", ""emails_disabled"": false, ""mentions_disabled"": false, ""lfs_enabled"": true, ""request_access_enabled"": true, ""parent_id"": 12345, ""default_branch_protection"": 1, ""shared_runners_setting"": ""enabled""}","{""name"": ""Engineering Team"", ""path"": ""engineering"", ""description"": ""Group for all engineering projects."", ""avatar"": ""team_logo.png""}",http://localhost:30000/api/v4/groups?visibility=private&require_two_factor_authentication=False&two_factor_grace_period=24&project_creation_level=developer&auto_devops_enabled=True&subgroup_creation_level=owner&emails_disabled=False&mentions_disabled=False&lfs_enabled=True&request_access_enabled=True&parent_id=12345&default_branch_protection=1&shared_runners_setting=enabled,400,2xx,0.059s,FAIL
_groups_POST_0_1,1,post-/groups,POST,7,llm_success_ignore_optional,"{""share_with_group_lock"": true, ""require_two_factor_authentication"": false, ""lfs_enabled"": true}","{""name"": ""Engineering Team"", ""path"": ""engineering"", ""description"": ""Group for all engineering projects."", ""avatar"": ""team_logo.png""}",http://localhost:30000/api/v4/groups?share_with_group_lock=True&require_two_factor_authentication=False&lfs_enabled=True,400,2xx,0.058s,FAIL
_groups_POST_0_1,1,post-/groups,POST,8,llm_success_ignore_optional: All fields are present and values match their types and allowed enums; integer fields are parseable and within allowed values.,"{""visibility"": ""private"", ""share_with_group_lock"": true, ""require_two_factor_authentication"": false, ""two_factor_grace_period"": 24, ""project_creation_level"": ""developer"", ""auto_devops_enabled"": true, ""subgroup_creation_level"": ""owner"", ""emails_disabled"": false, ""mentions_disabled"": false, ""request_access_enabled"": true, ""parent_id"": 12345, ""default_branch_protection"": 1, ""shared_runners_setting"": ""enabled""}","{""name"": ""Engineering Team"", ""path"": ""engineering"", ""avatar"": ""team_logo.png""}",http://localhost:30000/api/v4/groups?visibility=private&share_with_group_lock=True&require_two_factor_authentication=False&two_factor_grace_period=24&project_creation_level=developer&auto_devops_enabled=True&subgroup_creation_level=owner&emails_disabled=False&mentions_disabled=False&request_access_enabled=True&parent_id=12345&default_branch_protection=1&shared_runners_setting=enabled,400,2xx,0.062s,FAIL
_groups_POST_0_1,1,post-/groups,POST,9,llm_success_ignore_optional: All fields are present and values match their types and allowed enums; integer fields are parseable and within allowed values.,"{""visibility"": ""private"", ""share_with_group_lock"": true, ""require_two_factor_authentication"": false, ""two_factor_grace_period"": 24, ""project_creation_level"": ""developer"", ""subgroup_creation_level"": ""owner"", ""emails_disabled"": false, ""mentions_disabled"": false, ""lfs_enabled"": true, ""request_access_enabled"": true, ""parent_id"": 12345, ""default_branch_protection"": 1, ""shared_runners_setting"": ""enabled""}","{""name"": ""Engineering Team"", ""path"": ""engineering"", ""avatar"": ""team_logo.png""}",http://localhost:30000/api/v4/groups?visibility=private&share_with_group_lock=True&require_two_factor_authentication=False&two_factor_grace_period=24&project_creation_level=developer&subgroup_creation_level=owner&emails_disabled=False&mentions_disabled=False&lfs_enabled=True&request_access_enabled=True&parent_id=12345&default_branch_protection=1&shared_runners_setting=enabled,400,2xx,0.058s,FAIL
_groups_POST_0_1,1,post-/groups,POST,10,llm_success_ignore_optional,"{""two_factor_grace_period"": 24, ""parent_id"": 12345}","{""name"": ""Engineering Team"", ""path"": ""engineering"", ""avatar"": ""team_logo.png""}",http://localhost:30000/api/v4/groups?two_factor_grace_period=24&parent_id=12345,400,2xx,0.057s,FAIL
