endpoint,documented_codes,observed_codes,matched_codes,documented_2xx,matched_2xx,coverage_2xx_pct,documented_4xx,matched_4xx,coverage_4xx_pct,coverage_pct
put-/pet,"['200', '400', '404', '422']","['200', '400', '404']","['200', '400', '404']",['200'],['200'],100.0,"['400', '404', '422']","['400', '404']",66.7,75.0
post-/pet,"['200', '400', '422']","['200', '400', '500']","['200', '400']",['200'],['200'],100.0,"['400', '422']",['400'],50.0,66.7
get-/pet/findByStatus,"['200', '400']","['200', '400']","['200', '400']",['200'],['200'],100.0,['400'],['400'],100.0,100.0
get-/pet/findByTags,"['200', '400']",['400'],['400'],['200'],[],0.0,['400'],['400'],100.0,50.0
get-/pet/{petId},"['200', '400', '404']","['200', '400', '404']","['200', '400', '404']",['200'],['200'],100.0,"['400', '404']","['400', '404']",100.0,100.0
post-/pet/{petId},"['200', '400']","['200', '400', '404']","['200', '400']",['200'],['200'],100.0,['400'],['400'],100.0,100.0
delete-/pet/{petId},"['200', '400']","['200', '400']","['200', '400']",['200'],['200'],100.0,['400'],['400'],100.0,100.0
post-/pet/{petId}/uploadImage,"['200', '400', '404']",[],[],['200'],[],0.0,"['400', '404']",[],0.0,0.0
get-/store/inventory,['200'],[],[],['200'],[],0.0,[],[],0.0,0.0
post-/store/order,"['200', '400', '422']","['200', '400']","['200', '400']",['200'],['200'],100.0,"['400', '422']",['400'],50.0,66.7
get-/store/order/{orderId},"['200', '400', '404']","['200', '400', '404']","['200', '400', '404']",['200'],['200'],100.0,"['400', '404']","['400', '404']",100.0,100.0
delete-/store/order/{orderId},"['200', '400', '404']","['200', '400']","['200', '400']",['200'],['200'],100.0,"['400', '404']",['400'],50.0,66.7
post-/user,['200'],"['400', '500']",[],['200'],[],0.0,[],[],0.0,0.0
post-/user/createWithList,['200'],['400'],[],['200'],[],0.0,[],[],0.0,0.0
get-/user/login,"['200', '400']",['200'],['200'],['200'],['200'],100.0,['400'],[],0.0,50.0
get-/user/logout,['200'],['200'],['200'],['200'],['200'],100.0,[],[],0.0,100.0
get-/user/{username},"['200', '400', '404']","['200', '405']",['200'],['200'],['200'],100.0,"['400', '404']",[],0.0,33.3
put-/user/{username},"['200', '400', '404']",['400'],['400'],['200'],[],0.0,"['400', '404']",['400'],50.0,33.3
delete-/user/{username},"['200', '400', '404']",['405'],[],['200'],[],0.0,"['400', '404']",[],0.0,0.0
