endpoint,documented_codes,observed_codes,matched_codes,coverage_pct,documented_2xx,matched_2xx,coverage_2xx_pct,documented_4xx,matched_4xx,coverage_4xx_pct
put-/pet,"['200', '400', '404', '422', 'default']","['200', '400']","['200', '400']",50.0,['200'],['200'],100.0,"['400', '404', '422']",['400'],33.3
post-/pet,"['200', '400', '422', 'default']","['200', '400', '500']","['200', '400']",66.7,['200'],['200'],100.0,"['400', '422']",['400'],50.0
get-/pet/findByStatus,"['200', '400', 'default']","['200', '400']","['200', '400']",100.0,['200'],['200'],100.0,['400'],['400'],100.0
get-/pet/findByTags,"['200', '400', 'default']","['200', '400']","['200', '400']",100.0,['200'],['200'],100.0,['400'],['400'],100.0
get-/pet/{petId},"['200', '400', '404', 'default']","['200', '400', '404']","['200', '400', '404']",100.0,['200'],['200'],100.0,"['400', '404']","['400', '404']",100.0
post-/pet/{petId},"['200', '400', 'default']","['200', '400', '404']","['200', '400']",100.0,['200'],['200'],100.0,['400'],['400'],100.0
delete-/pet/{petId},"['200', '400', 'default']","['200', '400']","['200', '400']",100.0,['200'],['200'],100.0,['400'],['400'],100.0
post-/pet/{petId}/uploadImage,"['200', '400', '404', 'default']",[],[],0.0,['200'],[],0.0,"['400', '404']",[],0.0
get-/store/inventory,"['200', 'default']",[],[],0.0,['200'],[],0.0,[],[],0.0
post-/store/order,"['200', '400', '422', 'default']","['200', '400']","['200', '400']",66.7,['200'],['200'],100.0,"['400', '422']",['400'],50.0
get-/store/order/{orderId},"['200', '400', '404', 'default']","['200', '400', '404']","['200', '400', '404']",100.0,['200'],['200'],100.0,"['400', '404']","['400', '404']",100.0
delete-/store/order/{orderId},"['200', '400', '404', 'default']","['200', '400']","['200', '400']",66.7,['200'],['200'],100.0,"['400', '404']",['400'],50.0
post-/user,"['200', 'default']","['400', '500']",[],0.0,['200'],[],0.0,[],[],0.0
post-/user/createWithList,"['200', 'default']",['400'],[],0.0,['200'],[],0.0,[],[],0.0
get-/user/login,"['200', '400', 'default']",['200'],['200'],50.0,['200'],['200'],100.0,['400'],[],0.0
get-/user/logout,"['200', 'default']",['200'],['200'],100.0,['200'],['200'],100.0,[],[],0.0
get-/user/{username},"['200', '400', '404', 'default']",['405'],[],0.0,['200'],[],0.0,"['400', '404']",[],0.0
put-/user/{username},"['200', '400', '404', 'default']",['400'],['400'],33.3,['200'],[],0.0,"['400', '404']",['400'],50.0
delete-/user/{username},"['200', '400', '404', 'default']",['405'],[],0.0,['200'],[],0.0,"['400', '404']",[],0.0
